complaints,Product,Company,target
"Auto loan AUTO INSURANCE PREMIUM REIMBURSEMENT HAS RUINED MY PERSONAL AND BUSINESS CREDIT SCORES or reasonable working capital financing. The auto insurance coverage period in question is XX/XX/XXXX to XX/XX/XXXX ( same time frame as the account fraud ) and I did not get my refund until XXXX... which is almost 3 years later to finally get my initial check. Here is the series of events that ruined my credit : a. I sent Well Fargo proof of insurance in XX/XX/XXXX and I did not get my check until the first week of XX/XX/XXXX why would it take another 2 3 month on top of initially waiting almost 3 years b. So, I made the deposit and then c. a stop payment was placed on the check ( no explanation for why and no apology for one of many inconveniences ) and I was charged a {$30.00} stop payment fee. The check amount was for {$1500.00}. So a total of {$1600.00} was debited from my account. 
d. So then I told XXXX XXXX from Wells Fargo Dealer Services, I received the replacement check on XX/XX/XXXX and made the deposit today which means I won't be able to make the payment until the check clears on Friday XX/XX/XXXX or Monday XX/XX/XXXX ; e. So, of course, my credit score has been impacted by this going back to XXXX which is my point about collateral damage resulting in lower credit scores leading to predatory loans and is another part of why my business is suffering. This money was going to be used to catch up on my mortgage that I am already 2 months behind on and I will incur additional late payment fees. 
f. Of course, my reaction was disbelief as to why would a stop payment be placed on a check that I clearly provided to you a copy of proof of insurance certificate from my insurance company. 

So now my credit score has been damaged and I was denied a mortgage modification and was given a forbearance plan instead - due to everything that Wells Fargo has put me through with the account fraud and resulting collateral damages and especially the collateral damages from 8 + month long secret biased one sided investigation. So my credit score needs to be repaired. 

I have attached a copy of the XXXX XXXX  mortgage  fo",Checking or savings account,WELLS FARGO & COMPANY,3
I have received several letters from SCA Collections. Each time I have responded with a written letter informing them that I do not owe the debt. I have included with each correspondence a copy of my billing statement from XXXX XXXX of XXXX XXXX showing a XXXX balance. I logged into the XXXX XXXX  website this morning and verified once again that I do not owe them any money. My insurance has paid their portion and I have paid my portions. I am mailing my 4th letter to them today asking them to stop contacting.,Debt collection,"SCA Collections, Inc.",0
I am requesting for a update to all three of the credit reporting agencies for me XXXX XXXX and XXXX XXXX for 30 + delinquency reporting for XX/XX/XXXX and XX/XX/2019. I have encountered some medical issues in the beginning of 2019 and have tried my best to keep up with my bills. I am asking for a goodwill update due to the unforeseen circumstances with health that caused the payments to be late.,Vehicle loan or lease,NISSAN MOTOR ACCEPTANCE CORPORATION,5
"In the year XX/XX/XXXX, I was managing two small businesses ( XXXX and XXXX ). XXXX was providing on line computer support and XXXX XXXX was used for purchasing jewelry items through PayPal. After some time, PayPal sent me collection letters for {$780.00} for XXXX. I have tried to reach PayPal several times by Phone, Inter Office emails and even Certified Letters but I could not resolve the issues. 
In a call to PayPal on XX/XX/XXXX to their Dispute Dept. with XXXX, I was told that the Balance Due is only {$240.00}. On XX/XX/XXXX I received an e-mail statement that amount due is {$460.00}. ( See Exhibit B, Scan XXXX ).

On XX/XX/XXXX sent a Certified mail to PayPal legal Dept. I received an e-mail response on XX/XX/XXXX. ( See Exhibit B, Scan XXXX ) explaining Debt Amount of {$780.00}. Surprisingly if you added those amounts, it come out to be {$780.00}. 
On XX/XX/XXXX PayPal sent me an email in response to my Second Certified letter, ( See Exhibit B Scan XXXX ) to call PayPal to resolve issues. In every call I spoke to different depts. and different people, every one giving different answers. No one would confirm that I have spoken to someone else before. I have sent several inter office emails for which I received an automated response for receiving email without any follow up. 
Previously, I have received several emails informing me that PayPal is withdrawing their money request. In their emails, there is no Case ID or transaction information. Also I have discovered some duplicate transactions showing negligence on part of PayPal. Even after realizing their mistakes amount due is always {$780.00} and it would not change. 
After many phone calls PayPal provided me with access to XXXX XXXX account I have discovered many unauthorized money transfers and several transactions still on hold in their records. ( See Exhibit A and its summary ). These transactions are from XX/XX/XXXX to XX/XX/XXXX. Access to XXXX account was not granted. 
After discussion with several PayPal Dept., I could not get any explanation on phone, by email or hard copy. My businesses have suffered losses and ending up closed because of these irregularities. It has affected my Credit also. I request your help in resolving this case. Thank you. 
XXXX XXXX XXXX",Debt collection,"Paypal Holdings, Inc",0
"I have repeatedly reached out to this collection company and have gotten no new information about the original debt. 
I am confident that this is an error and have no way to remove this item from my credit report.",Debt collection,"American Profit Recovery, Inc., Marlborough, MA Branch",0
"recently filed Chapter XXXX as I had got behind with my bills and my hours were cut back at work due to the Covid 19 Pandemic. I did not file on my mortgage company for obvious reasons. When I went on line to make a payment I found I was locked out of my account because of the bankruptcy. I called them and explained that i had not filed on them and was told I would need to mail in a payment and that they could not even talk to me without permission from my lawyer. I had my lawyer send them a form giving said permission on XX/XX/XXXX He received an email from them requesting the account number associated with my mortgage and he sent them the needed information the same day. In the mean time I sent a check for my XXXX payment in the form of a metered mail envelope that my secretary hand delivered to the post office. That was on XX/XX/XXXX, on XX/XX/XXXX I had still not seen the funds removed from my checking account. I called them on XX/XX/XXXX and talked to a customer ambassador and was told to set up bill pay through my bank and had no idea where my check was. I asked to talk to a supervisor and was told that they needed permission from my lawyer, and was told they had never got anything from him even though he has the email they sent him requesting the account number and the email he sent them with it. Not making a lot of sense to me at this time. 

Now it is XX/XX/XXXX They claim they have still not received anything from my lawyer which can easily be proven untrue when I try to call from my cell phone the call will not go through but I get through immediately from my work phone and there 2 separate charges of XXXX one on XX/XX/20 and one on XX/XX/20 labeled bankruptcy expenses that I can not get an explanation for. ( I did not file bankruptcy on these people ) Please help Also I can not send extra money with my payment and I could with the mortgage company that sold them my account I do not think that is right I made sure when I refinanced that I would be able to I thought they had to honor existing agreement when buying out mortgages?",Mortgage,Freedom Mortgage Company,2
"I have been a customer of Wells Fargo since XXXX having recently closed my bank accounts due to these ongoing issues. I procured my WF credit card in XXXX and it has been down hill since then. Wells Fargo is mismanaging my credit card and you need to know this. Payments have disappeared, money has not been credited to account, automatic payment form has a forged signature, and credit line changed without contact, and more. This mismanagement is so egregious that their own employees have agreed that there has been improper handling of this account. 

I have been dealing with issues on the credit card for three years and nothing has been resolved. Talked with three different people in executive office, numerous branch officials, and countless phone customer service agents. This led me to close accounts with WF to never bank there again. 

This is in line with their previous illegal practices which I do not mind seeking litigation for this issue.",Credit card or prepaid card,WELLS FARGO & COMPANY,1
I have paid the debt of XXXX to M Leonard and assoc. about 4 months ago. I have spoken to a XXXX XXXX at the company whom has been no help. according to her my paid debt can not be removed because she says I made an arrangement and did not keep it. I did call back to pay the debt in full and made the payment. They were very nice taking the payment and had mentioned it will fall off my credit report as paid. I assumed that was to be removed. Now because of this still showing on my credit report as a paid collection I can not live the American dream and purchase a home for myself and 3 kids. I have attempted and pleaded with this company to have this removed and they will not and in turn are always snarky and rude. I have called XXXX XXXX group which is the original creditor and they wish they can hekp but since it has been sent to leonard and assoc they are unable to assist.,Debt collection,Diversified Acceptance Corporation,0
"I purchased a clearance mattress from Mattress Firm, which they offered financing for. When I applied for this loan, I was under the impression, rightly or wrongly, that I was applying for an installment loan, or some other closed line of credit, but it was opened as a credit card with Synchrony Bank. I was never provided a Regulation CC disclosure during the process. The only indication I had that I had applied for a credit card was the receipt I signed, which stated 'Terms : This transaction is covered by your credit card agreement with Synchrony Bank . ' A credit card agreement I did not have access to. 
Had I had access to the terms of the credit card loan, I would have considered my other options. Having an open-ended loan affects my ability to access as much credit in the near future. When I spoke to the store manager, she told me 'Well if you close it now, it will hurt your credit more. ' The district manager was apologetic, but told I should have asked for those disclosures. It is not the responsibility of the consumer to request those mandatory disclosures, it is the lender 's.",Credit card or prepaid card,SYNCHRONY FINANCIAL,1
"My name is XXXX XXXX XXXX, Date of Birth- XX/XX/XXXX, SSN # : XXXX, my current address is XXXX XXXX XXXX XXXX, XXXX , OH, XXXX. Please remove addresses that doesn't belong to me : XXXX XXXX XXXX XXXX XXXX, XXXX, OH XXXX, XXXX XXXX   XXXX XXXX XXXX XXXX, XXXX, OH XXXX, XXXX XXXX XXXX XXXX, XXXX, OH XXXX. My current phone number:XXXX. Please remove phone number that doesn't belong to me : ( XXXX ) XXXX, ( XXXX ) XXXX.This is a notice of dispute pursuant to the Fair Credit Reporting Act ( FRCA ), section 623, subsection ( 8 ) ( D ). The specific information under dispute is derogatory nature. I am requesting the verification to follow reasonable procedures to assure maximum possible accuracy, of the information on my credit report. So I am requesting you verify the items I am disputing at a higher standard than a third-party database search. Please also notify the source who reported the item within 5 days after receiving this dispute, and obtain either, verbal or hand written verification directly from a person at that. Please delete/remove the following unverified accounts : ENHANCED RECOVERY COMPANY- account # : # XXXX, XXXX XXXX XXXX account # : XXXX",Debt collection,ERC,0
